Energy Transfer (eV)	lambda:VB-A1	lambda:VB-A2	lambda:VB-A3	lambda:VB-B1	lambda:VB-B2	lambda:VB-B3	lambda:VB-C1	lambda:VB-C2	lambda:VB-C3	lambda:VB-D1	lambda:VB-D2	lambda:VB-D3	lambda:VB-E1	lambda:VB-E2	lambda:HL-D1	lambda:HL-D2	lambda:HL-D3	lambda:HL-E1	lambda:HL-E2	lambda:HL-E3	lambda:VU-A1	lambda:VU-A2	lambda:VU-A3	lambda:VU-B2	lambda:VU-B3	lambda:VU-C1	lambda:VU-C2	lambda:VU-C3	lambda:VU-D1	lambda:VU-D2	lambda:VU-D3	lambda:VU-E1	lambda:VU-E3	lambda:VD-C2	lambda:VD-D1	lambda:VD-D2	lambda:VD-D3	lambda:VD-E1	lambda:VD-E2	lambda:VD-E3	minipix:VB-A1	minipix:VB-B1	minipix:VB-C1	minipix:VB-D1	minipix:VB-E1	minipix:VU-A1	minipix:VU-B1	minipix:VU-E1	minipix:VD-A1	minipix:VD-B1	minipix:VD-C1
-1.6	61372.51502045121	22002.84208583018	45446.424027417095	8906.724745512993	9423.422630938407	72125.54465878208	18933.423112783694	17467.307396914428	25688.643311431293	10783.349726259295	30207.567779755802	81587.13548810253	52906.483995474824	36179.050434537356	27.605004907711688	560.2790148574009	174.41596063746903	1784.7863597182202	877.7688081375983	257.71162620835395	186.2983748653353	268.79712905252103	35179.17785793647	27013.703047975705	13434.483962393986	1102.7630162370483	973.8932524659024	301.5940732955469	1202.1882959472632	21.5344443930837	23.981571567036017	317.1852858748388	35.14160654604354	59.002830340511444	11.620485747566555	1644.7559153473953	2.179800044254344	22060.781672684076	1668.60313211149	540.7530759639028	145.93744911479322	157.7069681972549	66.78212191732094	12.759433458082913	0.0	76.50862270940135	490.6811142219181	0.0	37.80860731852232	151.24761887197474	56.22911278567929
-1.4000000000000001	70968.20808653854	26924.280681887347	50776.76356972971	14620.600538110764	12446.926000748499	75896.17549798053	22239.293231861386	23642.383859096626	35472.46418472319	13946.484155601609	34437.651067357736	97905.57511265649	59093.20340912289	42142.29261210527	296.76087647752973	737.899602232749	301.1088989902633	2504.4232625965174	984.067730036597	289.5990112403217	466.0211316533412	309.34160102551044	41102.830738007535	31493.853915812124	16889.08561869126	1305.8594447645826	1185.6039442159836	358.9141322220079	1392.2220074429647	25.52978742081289	32.91954370808271	374.44934424847054	38.303634667251416	104.9202453296311	12.942967327318305	2095.521026956335	2.4237529570240843	26021.85540868296	1898.010880434505	646.5468844802343	165.31119426745474	184.26050547646653	75.57726640401948	15.250321093731843	0.0	105.7246551369456	566.5477257826713	0.0	68.34690285675825	184.2913749240859	62.78105439587785
-1.2000000000000002	80563.90115262587	31845.71927794451	55809.78274821897	20334.476330708538	15470.429370558591	79666.80633717896	25545.163350939078	29817.460321278824	45256.285058015084	17109.618584943924	38667.73435495967	114224.01473721044	62767.2695473121	48105.53478967319	565.9167480473477	915.520189608097	427.8018373430575	3224.0601654748143	1162.301866546157	319.88881035043573	745.743888441347	349.88607299849986	47026.48361807861	35974.00478364855	20343.687274988537	1508.9558732921166	1397.314635966065	416.23419114846894	1582.255718938666	29.67930903652489	41.85751584912941	533.6485381254993	41.46566278845929	150.83766031875075	417.39961473329083	2546.2861385652745	5.026155959636599	29982.929144681846	2127.4186287575203	752.3406929965658	184.68493942011622	210.8140427556782	84.37241089071802	17.741208729380773	0.0	134.94068756448985	642.4143373434244	0.0	98.88519839499419	217.335130976197	78.43300992548072
-1.0	90159.5942187132	36767.157874001685	56127.54799146467	26048.35212330632	18493.932740368684	83437.4371763774	28851.033470016777	35992.53678346102	55040.10593130699	20272.753014286245	42395.304938216905	130542.45436176441	63891.299037768316	54068.776967241116	835.072619617166	1093.1407769834452	554.4947756958519	3943.6970683531126	1340.5360030557172	323.71487879744694	1025.4666452293534	390.4305449714893	52950.13649814969	40454.155651484965	23798.288931285813	1712.052301819651	1609.0253277161466	473.55425007493	1772.2894304343674	33.828830652236896	50.79548799017612	692.8477320025281	44.627690909667166	196.75507530787047	913.6968441678362	2997.0512501742146	7.719413486196605	33944.00288068074	2338.302485370217	858.1345015128975	201.01620279249164	237.36758003488987	102.85178953259336	20.232096365029705	0.0	164.15671999203408	718.2809489041778	0.0	129.42349393323016	250.37888702830818	101.00996211204848
-0.8	94228.40568571072	41688.59647005885	56445.31323471038	31762.227915904088	21517.43611017878	87208.06801557583	32156.90358909447	42167.613245643224	64823.92680459889	23435.88744362856	41705.90767733607	146860.89398631835	65015.328528224534	60032.01914480903	1104.2284911869838	1270.7613643587933	681.1877140486462	4663.33397123141	1518.770139565277	327.54094724445815	1305.1894020173593	494.65477374465934	58873.789378220754	44934.306519321384	27252.89058758309	1915.148730347185	1820.736019466228	530.874309001391	1888.4365644175014	37.97835226794889	59.73346013122282	852.0469258795569	47.78971903087505	242.67249029699013	1409.9940736023811	3447.816361783154	10.41267101275661	37905.076616679624	2250.5426165313693	963.928310029229	214.5226959570557	263.92111731410154	127.25050996735797	22.722984000678636	0.0	193.37275241957838	752.0639912581504	0.0	159.9617894714661	283.42264308041933	123.58691429861622
-0.6000000000000001	88634.61480957863	46610.03506611602	56763.078477956085	37476.10370850186	24540.939479988872	90978.69885477427	32758.574437544212	48342.68970782542	74607.74767789077	26599.021872970872	41016.51041645525	162593.87721008412	66139.35801868075	65995.26132237694	1373.384362756802	1448.3819517341415	807.8806524014404	5382.970874109707	1697.004276074837	331.3670156914693	1584.9121588053652	678.3125658304873	57563.921897106266	49414.45738715781	30707.492243880366	2118.245158874719	2032.4467112163095	588.194367927852	1745.148956361077	42.1278738836609	68.67143227226953	1011.2461197565856	50.79266135572747	288.5899052861098	1906.291303036926	3898.581473392094	13.105928539316613	37951.765004901856	2162.782747692522	1057.3067627901519	228.02918912161977	290.4746545933132	151.64923040212256	24.71427789037091	0.0	222.5887848471226	735.1316299732189	0.0	190.50008500970205	316.46639913253046	146.16386648518397
-0.3999999999999999	83040.82393344653	47602.76849406887	57080.84372120179	43189.97950109964	27564.442849798965	94749.32969397272	32481.718362731277	54517.76617000762	84391.56855118269	29762.156302313193	40327.113155574414	147547.6942776838	67263.38750913697	71958.50349994487	1642.54023432662	1626.0025391094898	934.5735907542348	6102.607776988006	1875.238412584397	335.1930841384805	1864.6349155933713	861.9703579163155	55906.280338256736	53894.60825499424	34162.09390017764	1920.0833453625828	2164.6521880057317	606.1575827244387	1601.8613483046524	46.2773954993729	77.60940441331623	1170.4453136336144	47.703872967508644	334.5073202752295	2402.588532471471	4349.346585001033	15.79918606587662	34765.527025042	2075.0228788536747	955.0590960287639	241.53568228618383	317.02819187252487	176.0479508368872	23.87496958460523	0.0	251.80481727466685	718.1992686882872	0.0	221.038380547938	314.9071151201348	168.74081867175173
-0.19999999999999996	77447.03305731443	44228.727179402726	57398.60896444749	48903.85529369741	30587.946219609057	98519.96053317115	32204.86228791834	60692.84263218982	94175.38942447458	31225.35557794191	39637.71589469358	132501.5113452835	68387.41699959319	77921.7456775128	1911.6961058964382	1754.8854232393564	1061.266529107029	6822.244679866302	2053.4725490939572	339.0191525854917	2144.3576723813776	1045.6281500021435	54248.638779407214	58374.759122830656	32619.62042357363	1719.4950829816128	1950.935691823184	549.0855419626049	1458.573740248228	50.426917115084905	86.54737655436293	1329.644507510643	44.61508457928982	380.4247352643492	2898.885761906016	4240.561598129128	18.492443592436622	31579.289045182144	1987.2630100148272	852.811429267376	255.04217545074786	343.5817291517365	200.44667127165184	23.035661278839548	0.0	281.0208497022111	701.2669074033556	0.0	251.57667608617396	292.19770247476947	191.31777085831948
0.0	71853.24218118233	40854.68586473657	57716.3742076932	54617.731086295185	33611.44958941915	102290.59137236958	31928.006213105404	57404.9609763023	92052.46815242458	28074.48064014465	38948.31863381275	117455.32841288322	69511.4464900494	78641.61431023129	2180.8519774662564	1577.4944562110443	1187.9594674598234	6872.198887986722	2231.706685603517	342.8452210325029	2424.0804291693835	1229.2859420879713	52590.997220557685	62854.909990667074	29299.43739864529	1518.9068206006427	1737.2191956406361	492.013501200771	1315.2861321918037	54.5764387307969	95.48534869540961	1488.843701387672	41.526296191071	426.34215025346884	3395.1829913405604	3789.432137999253	21.185701118996626	28393.05106532229	1899.5031411759799	750.563762505988	268.54866861531195	370.13526643094815	224.84539170641642	22.196352973073868	0.0	310.2368821297553	684.3345461184241	0.0	282.1149716244099	269.48828982940415	213.8947230448872
0.19999999999999996	66259.45130505023	37480.64455007043	58034.13945093891	55323.97988825987	34508.924725454424	102013.62764816971	31651.15013829247	51466.16191444379	82680.03151855787	24923.60570234739	38258.92137293192	102409.14548048293	70635.47598050562	70600.89398700607	2450.0078490360743	1400.1034891827321	1210.7153192779915	6149.024333530384	2409.940822113077	346.6712894795141	2703.8031859573894	1412.9437341737994	50933.35566170816	66493.57870711078	25979.254373716947	1318.318558219673	1523.5026994580885	434.94146043893704	1171.9985241353793	58.7259603465089	104.42332083645633	1648.0428952647005	38.437507802852174	465.60114210901725	3891.4802207751054	3338.3026778693784	23.87895864555663	25206.813085462432	1811.7432723371326	648.3160957446001	282.05516177987596	396.6888037101598	249.24411214118103	21.357044667308188	0.0	306.7680108699806	667.4021848334925	0.0	312.6532671626459	246.7788771840388	236.47167523145492
